epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,2231.51,0.95351,0.72876,1.24312,0.89766,0.79872,0.84379,0.5486,1.07481,0.56049,1.30015,0.00014605,0.00014605,0.00014605
23,2335.26,0.94159,0.70517,1.22624,0.85025,0.85416,0.86732,0.59347,0.97335,0.51524,1.24201,0.0001411,0.0001411,0.0001411
24,2439.46,0.93506,0.69956,1.22538,0.89356,0.81717,0.86053,0.60174,0.93701,0.50849,1.20437,0.00013615,0.00013615,0.00013615
25,2543.81,0.92235,0.68094,1.21932,0.82158,0.86258,0.88892,0.60895,0.92307,0.50891,1.19968,0.0001312,0.0001312,0.0001312
26,2646.86,0.91318,0.68017,1.21127,0.84041,0.80109,0.84365,0.58861,0.95564,0.52594,1.22537,0.00012625,0.00012625,0.00012625
27,2750.85,0.90314,0.66243,1.20399,0.85859,0.84719,0.8574,0.60121,0.9498,0.4986,1.21307,0.0001213,0.0001213,0.0001213
28,2855.91,0.89879,0.65854,1.20308,0.81289,0.86312,0.84964,0.58383,1.00375,0.52541,1.24436,0.00011635,0.00011635,0.00011635
29,2959.81,0.88907,0.64537,1.19497,0.87329,0.81231,0.87245,0.60037,0.96728,0.4941,1.22055,0.0001114,0.0001114,0.0001114
30,3063.19,0.87693,0.63698,1.1901,0.8423,0.85645,0.85668,0.57211,1.07453,0.51802,1.30319,0.00010645,0.00010645,0.00010645
31,3167.2,0.86986,0.61863,1.18238,0.86724,0.83782,0.85802,0.59236,0.9863,0.49877,1.2331,0.0001015,0.0001015,0.0001015
32,3271.34,0.85942,0.61425,1.17406,0.82951,0.86665,0.87863,0.6101,0.92443,0.47284,1.20688,9.655e-05,9.655e-05,9.655e-05
33,3376.12,0.85559,0.60689,1.17459,0.87892,0.83088,0.87404,0.59323,0.94507,0.48936,1.22703,9.16e-05,9.16e-05,9.16e-05
34,3483.93,0.84589,0.59738,1.16426,0.8694,0.80776,0.85582,0.59976,0.95806,0.49286,1.22862,8.665e-05,8.665e-05,8.665e-05
35,3589.21,0.84517,0.59438,1.16672,0.89506,0.81891,0.8725,0.60504,0.95687,0.48465,1.23061,8.17e-05,8.17e-05,8.17e-05
36,3692.65,0.83561,0.59089,1.16313,0.8593,0.86057,0.86991,0.59676,0.97915,0.47708,1.24514,7.675e-05,7.675e-05,7.675e-05
37,3796.98,0.83211,0.58281,1.15662,0.86652,0.85406,0.8618,0.60546,0.92084,0.46282,1.21026,7.18e-05,7.18e-05,7.18e-05
38,3900.26,0.81709,0.57516,1.14933,0.88217,0.81241,0.86371,0.61213,0.94699,0.48413,1.22259,6.685e-05,6.685e-05,6.685e-05
39,4001.99,0.8107,0.5715,1.14705,0.87389,0.83397,0.87241,0.59882,0.97134,0.46861,1.24524,6.19e-05,6.19e-05,6.19e-05
40,4103.41,0.80701,0.56083,1.14309,0.81819,0.86898,0.8781,0.62314,0.95635,0.46502,1.22479,5.695e-05,5.695e-05,5.695e-05
41,4245.28,0.75867,0.40455,1.15898,0.88627,0.81854,0.86069,0.59476,0.9269,0.47064,1.20455,5.2e-05,5.2e-05,5.2e-05
42,4342.16,0.70434,0.36886,1.11204,0.86586,0.84363,0.86019,0.60476,0.90469,0.47369,1.20041,4.705e-05,4.705e-05,4.705e-05
43,4440.3,0.68949,0.36067,1.09853,0.84641,0.82523,0.85657,0.59902,0.92444,0.47139,1.20866,4.21e-05,4.21e-05,4.21e-05
44,4538.05,0.67559,0.35122,1.09057,0.85606,0.83478,0.85903,0.61118,0.89431,0.4743,1.19752,3.715e-05,3.715e-05,3.715e-05
45,4635.14,0.65811,0.34448,1.07876,0.9113,0.82259,0.85468,0.60311,0.9127,0.45592,1.2158,3.22e-05,3.22e-05,3.22e-05
46,4731.37,0.65082,0.34142,1.07421,0.90515,0.81248,0.85624,0.60227,0.90189,0.45805,1.21104,2.725e-05,2.725e-05,2.725e-05
47,4827.77,0.64567,0.33982,1.07609,0.88925,0.82278,0.85609,0.60535,0.90445,0.46802,1.21088,2.23e-05,2.23e-05,2.23e-05
48,4923.22,0.63415,0.33209,1.06461,0.88932,0.82633,0.85132,0.59853,0.92607,0.46667,1.22272,1.735e-05,1.735e-05,1.735e-05
49,5020.97,0.62717,0.32812,1.06149,0.8943,0.83139,0.85754,0.59961,0.90305,0.46311,1.21078,1.24e-05,1.24e-05,1.24e-05
50,5120,0.61839,0.32545,1.056,0.89109,0.8386,0.85486,0.5984,0.90972,0.46078,1.21501,7.45e-06,7.45e-06,7.45e-06
