epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3011,1.53584,4.14162,1.78686,0.43872,0.20974,0.18294,0.10251,1.44483,2.91956,1.57065,8.31335e-05,8.31335e-05,8.31335e-05
2,198.7,1.48129,2.64322,1.70472,0.70248,0.55315,0.6141,0.38135,1.24242,1.28524,1.39936,0.000163171,0.000163171,0.000163171
3,301.205,1.40617,1.91196,1.62775,0.78224,0.65994,0.73571,0.433,1.49876,1.11207,1.55958,0.000239908,0.000239908,0.000239908
4,403.956,1.33165,1.60964,1.5538,0.83496,0.65917,0.75413,0.49334,1.18992,0.96988,1.37311,0.00023515,0.00023515,0.00023515
5,504.635,1.2768,1.43628,1.5006,0.74941,0.76615,0.79803,0.49861,1.2375,0.85016,1.37925,0.0002302,0.0002302,0.0002302
6,607.388,1.23981,1.31516,1.46497,0.87981,0.74655,0.81532,0.55502,1.03763,0.72499,1.27443,0.00022525,0.00022525,0.00022525
7,709.09,1.21387,1.22788,1.44039,0.86316,0.78849,0.82884,0.56759,0.99418,0.69102,1.24024,0.0002203,0.0002203,0.0002203
8,810.677,1.184,1.14539,1.4085,0.85541,0.80157,0.83752,0.55786,1.07722,0.6655,1.28313,0.00021535,0.00021535,0.00021535
9,914.63,1.15526,1.08247,1.38707,0.83563,0.78783,0.83242,0.55891,1.06089,0.64436,1.26413,0.0002104,0.0002104,0.0002104
10,1017.11,1.14225,1.03652,1.37529,0.83434,0.80474,0.82192,0.50663,1.21517,0.67977,1.38096,0.00020545,0.00020545,0.00020545
11,1117.15,1.10117,0.97516,1.34352,0.908,0.79738,0.83742,0.56581,1.01859,0.60201,1.25144,0.0002005,0.0002005,0.0002005
12,1217.29,1.08462,0.94175,1.33123,0.89088,0.7946,0.84744,0.54401,1.22925,0.63544,1.38645,0.00019555,0.00019555,0.00019555
13,1317.58,1.0788,0.91461,1.32198,0.89635,0.80791,0.85022,0.59275,0.98472,0.57541,1.2305,0.0001906,0.0001906,0.0001906
14,1418.56,1.06044,0.88078,1.31287,0.83969,0.82274,0.86348,0.5725,1.09031,0.58101,1.29182,0.00018565,0.00018565,0.00018565
15,1518.56,1.04229,0.86204,1.29874,0.91685,0.79488,0.85965,0.59628,0.97736,0.56266,1.22316,0.0001807,0.0001807,0.0001807
16,1619.36,1.02747,0.82128,1.28868,0.83087,0.84376,0.83963,0.58987,0.99947,0.56025,1.23,0.00017575,0.00017575,0.00017575
17,1719.48,1.01805,0.80971,1.28143,0.90237,0.79055,0.84002,0.55313,1.12927,0.59373,1.31512,0.0001708,0.0001708,0.0001708
18,1819.66,1.00204,0.78685,1.27043,0.86063,0.80137,0.86285,0.59025,0.99022,0.54784,1.23628,0.00016585,0.00016585,0.00016585
19,1921.32,0.99288,0.77314,1.25946,0.83647,0.84042,0.85365,0.59493,0.93843,0.53182,1.19824,0.0001609,0.0001609,0.0001609
20,2024.21,0.97343,0.74931,1.25112,0.86216,0.82099,0.8433,0.56282,1.06037,0.54691,1.27942,0.00015595,0.00015595,0.00015595
21,2127.76,0.96928,0.74668,1.24719,0.86445,0.82073,0.84581,0.56143,1.06375,0.54897,1.28796,0.000151,0.000151,0.000151
